area_type,availability,location,society,total_sqft,bath,balcony,price,Month_of_Availability
Super built-up  Area,Not Ready To Move,Gunjur,In society,1140.0,2,3,43.0,4
Super built-up  Area,Ready To Move,Marathahalli,Not in society,1220.0,2,1,57.0,0
Plot  Area,Ready To Move,Devarachikkanahalli,Not in society,1350.0,7,0,85.0,0
Super built-up  Area,Ready To Move,Kanakpura Road,Not in society,1005.0,2,1,36.68,0
Plot  Area,Ready To Move,Double Road,Not in society,500.0,3,2,100.0,0
Super built-up  Area,Not Ready To Move,Begur Road,In society,1358.0,2,1,80.58,8
Super built-up  Area,Ready To Move,Hegde Nagar,In society,1569.0,3,1,101.0,0
Super built-up  Area,Not Ready To Move,Haralur Road,In society,1240.0,2,1,70.0,4
Super built-up  Area,Ready To Move,Hennur Road,In society,2089.0,3,2,140.0,0
Super built-up  Area,Ready To Move,Kothannur,Not in society,1206.0,2,1,48.23,0
Super built-up  Area,Ready To Move,Kalena Agrahara,Not in society,1150.0,2,3,40.0,0
Built-up  Area,Ready To Move,Cholanayakanahalli,In society,2511.0,3,3,205.0,0
Built-up  Area,Ready To Move,Kaval Byrasandra,Not in society,460.0,1,0,22.0,0
Built-up  Area,Ready To Move,ISRO Layout,Not in society,4400.0,6,3,250.0,0
Super built-up  Area,Ready To Move,Akshaya Nagar,In society,2061.0,3,1,225.0,0
Built-up  Area,Ready To Move,Electronics City Phase 1,In society,1490.0,3,1,78.8,0
Super built-up  Area,Ready To Move,Bisuvanahalli,Not in society,1075.0,2,1,46.0,0
Super built-up  Area,Not Ready To Move,Old Madras Road,In society,1425.0,2,2,94.0,8
Built-up  Area,Ready To Move,Kalena Agrahara,In society,1200.0,2,1,40.0,0
Super built-up  Area,Ready To Move,Kaggadasapura,Not in society,1280.0,2,2,56.0,0
Super built-up  Area,Ready To Move,Silver Springs Layout,In society,1084.0,2,2,50.0,0
Super built-up  Area,Not Ready To Move,Chandapura,In society,1015.0,2,2,25.88,7
Super built-up  Area,Not Ready To Move,Kanakpura Road,In society,1017.0,2,1,51.25,5
Super built-up  Area,Ready To Move,Haralur Road,Not in society,1027.0,2,2,44.0,0
Super built-up  Area,Ready To Move,Electronic City Phase II,In society,1069.0,2,2,45.0,0
Super built-up  Area,Ready To Move,Hebbal,In society,1349.0,2,1,98.2,0
Super built-up  Area,Ready To Move,9th Phase JP Nagar,In society,1005.0,2,1,50.0,0
Super built-up  Area,Ready To Move,Jakkur,In society,1417.0,2,3,75.0,0
Plot  Area,Not Ready To Move,TC Palaya,Not in society,1475.0,3,1,98.0,1
Carpet  Area,Ready To Move,Maruthi Sevanagar,In society,950.0,2,2,47.0,0
Super built-up  Area,Ready To Move,RMV 2nd Stage,In society,2000.0,4,0,120.0,0
Plot  Area,Ready To Move,Giri Nagar,Not in society,880.0,3,1,140.0,0
Super built-up  Area,Ready To Move,Sarjapur  Road,In society,1863.0,3,2,104.0,0
Super built-up  Area,Ready To Move,Singasandra,In society,1010.0,2,1,29.5,0
Super built-up  Area,Ready To Move,Kalena Agrahara,In society,1425.0,2,1,70.0,0
Super built-up  Area,Ready To Move,Vijayanagar,In society,1450.0,3,0,100.0,0
Super built-up  Area,Ready To Move,Kothanur,In society,1847.0,3,2,105.0,0
Super built-up  Area,Ready To Move,AECS Layout,In society,1100.0,2,3,45.0,0
Super built-up  Area,Not Ready To Move,Kanakpura Road,In society,525.0,1,1,26.0,12
Super built-up  Area,Ready To Move,Mallasandra,In society,1665.0,3,2,95.0,0
Super built-up  Area,Ready To Move,Begur,In society,1664.0,4,3,65.0,0
Super built-up  Area,Ready To Move,JP Nagar,In society,1850.0,3,3,150.0,0
Super built-up  Area,Ready To Move,Panathur,In society,1438.0,2,3,100.0,0
Super built-up  Area,Ready To Move,Sunder Ram Shetty Nagar,In society,1560.0,3,3,115.0,0
Super built-up  Area,Not Ready To Move,Yelahanka,Not in society,1350.0,2,1,55.55,4
Super built-up  Area,Ready To Move,Kanakpura Road,In society,1550.0,3,3,67.0,0
Super built-up  Area,Not Ready To Move,Malleshpalya,Not in society,1140.0,2,2,46.5,4
Plot  Area,Ready To Move,Srirampura,Not in society,1200.0,5,2,180.0,0
Super built-up  Area,Not Ready To Move,Kodathi,Not in society,850.0,2,2,27.0,12
Super built-up  Area,Ready To Move,Whitefield,In society,1280.0,2,2,75.0,0
Built-up  Area,Ready To Move,Munnekollal,Not in society,1170.0,2,2,52.0,0
Super built-up  Area,Ready To Move,Motappa Layout,In society,1113.0,2,1,51.0,0
Super built-up  Area,Ready To Move,Hennur Road,In society,1385.0,2,1,83.09,0
Super built-up  Area,Not Ready To Move,Electronic City,In society,1128.0,2,1,65.0,4
Plot  Area,Ready To Move,Marathahalli,Not in society,1200.0,2,2,128.0,0
Plot  Area,Ready To Move,Akshaya Vana,Not in society,1200.0,4,3,165.0,0
Super built-up  Area,Ready To Move,Rajaji Nagar,In society,2390.0,3,2,415.0,0
Plot  Area,Ready To Move,Giri Nagar,Not in society,2400.0,4,1,400.0,0
Super built-up  Area,Ready To Move,Haralur Road,In society,1464.0,3,2,56.0,0
Super built-up  Area,Ready To Move,Manayata Tech Park,Not in society,1200.0,2,2,55.0,0
Super built-up  Area,Ready To Move,Kaval Byrasandra,In society,1200.0,2,2,52.0,0
Super built-up  Area,Ready To Move,Kaggalipura,In society,1150.0,2,1,55.0,0
Built-up  Area,Ready To Move,Basavanna Nagar,In society,1645.0,3,2,95.0,0
Super built-up  Area,Not Ready To Move,Sarjapur  Road,Not in society,1000.0,2,1,67.0,3
Plot  Area,Ready To Move,Haralur Road,Not in society,2650.0,4,2,198.0,0
Super built-up  Area,Ready To Move,6th Phase JP Nagar,In society,1192.0,2,2,74.0,0
Super built-up  Area,Ready To Move,Ulsoor,In society,2135.0,3,2,215.0,0
Super built-up  Area,Not Ready To Move,Whitefield,In society,1173.0,2,1,58.0,12
Built-up  Area,Ready To Move,Uttarahalli,In society,1020.0,2,2,45.0,0
Super built-up  Area,Ready To Move,Thigalarapalya,In society,3122.0,6,2,230.0,0
Super built-up  Area,Ready To Move,Somasundara Palya,Not in society,1600.0,3,3,64.0,0
Plot  Area,Not Ready To Move,T.C PALYA,Not in society,1200.0,2,0,79.0,3
Carpet  Area,Ready To Move,Muneshwara Nagar,Not in society,1230.0,2,3,48.0,0
Super built-up  Area,Ready To Move, Devarachikkanahalli,In society,1250.0,2,2,40.0,0
Super built-up  Area,Ready To Move,Kalena Agrahara,In society,1325.0,2,2,76.0,0
Built-up  Area,Ready To Move,7th Phase JP Nagar,In society,1850.0,3,1,150.0,0
Super built-up  Area,Not Ready To Move,Kanakpura Road,In society,525.0,2,2,21.53,12
Super built-up  Area,Ready To Move,Basaveshwara Nagar,Not in society,1200.0,2,2,65.0,0
Plot  Area,Ready To Move,Bull Temple Road,Not in society,1350.0,2,0,140.0,0
Super built-up  Area,Not Ready To Move,Bommasandra,In society,1260.0,3,1,49.36,6
Super built-up  Area,Ready To Move,Prashanth Nagar,In society,1800.0,3,0,150.0,0
Plot  Area,Not Ready To Move,Suragajakkanahalli,In society,11.0,3,2,74.0,12
Built-up  Area,Ready To Move,Ardendale,In society,1100.0,2,1,43.25,0
Super built-up  Area,Ready To Move,Harlur,In society,1508.0,2,1,77.0,0
Carpet  Area,Ready To Move,Sampigehalli,In society,1592.0,3,2,75.0,0
Super built-up  Area,Ready To Move,Akshaya Nagar,In society,1388.0,2,3,57.0,0
Super built-up  Area,Not Ready To Move,Electronic City Phase II,In society,630.0,1,1,28.35,5
Plot  Area,Ready To Move,RMV,Not in society,2000.0,3,2,365.0,0
Super built-up  Area,Ready To Move,Banashankari3rd stage bigbazar,Not in society,1762.0,3,1,125.0,0
Super built-up  Area,Not Ready To Move,Bagalur Main Road,Not in society,950.0,2,2,50.0,12
Super built-up  Area,Ready To Move,Kodihalli,In society,3252.0,5,3,335.0,0
Super built-up  Area,Not Ready To Move,Magadi Road,In society,1116.0,2,1,50.0,8
Super built-up  Area,Ready To Move,Narayanapura,In society,1308.0,2,2,89.04,0
Super built-up  Area,Ready To Move,MS Pallya,Not in society,1200.0,3,0,90.0,0
Plot  Area,Ready To Move,Binny Mills Employees Colony,Not in society,1500.0,4,2,230.0,0
Built-up  Area,Ready To Move,Bannerghatta Road,Not in society,500.0,1,1,18.5,0
Super built-up  Area,Ready To Move,Hennur,In society,1075.0,2,1,52.0,0
Super built-up  Area,Not Ready To Move,Chandapura,In society,530.0,1,0,11.66,3
Built-up  Area,Ready To Move,Bellandur,Not in society,1205.0,2,3,66.0,0
Super built-up  Area,Ready To Move,5th Phase JP Nagar,In society,1075.0,2,2,60.0,0
Built-up  Area,Ready To Move,KR Puram,In society,930.0,2,2,39.0,0
Super built-up  Area,Ready To Move,Balagere,In society,1380.0,2,1,60.0,0
Super built-up  Area,Ready To Move,Hebbal,In society,2483.0,5,2,212.0,0
Built-up  Area,Ready To Move,Kodigehaali,In society,1166.0,2,2,55.0,0
Super built-up  Area,Ready To Move,Bannerghatta Road,In society,1050.0,2,1,65.0,0
Super built-up  Area,Not Ready To Move,Gopalapura,In society,1047.0,3,2,275.0,3
Super built-up  Area,Ready To Move,Begur Road,In society,1200.0,2,2,46.8,0
Super built-up  Area,Ready To Move,Lakshminarayana Pura,In society,1600.0,2,1,108.0,0
Super built-up  Area,Ready To Move,Billekahalli,In society,1935.0,3,2,110.0,0
Super built-up  Area,Not Ready To Move,8th Phase JP Nagar,In society,451.0,1,0,29.9,5
Super built-up  Area,Ready To Move,Electronic City,In society,1800.0,3,2,95.0,0
Super built-up  Area,Not Ready To Move,Jalahalli,In society,1400.0,3,0,77.0,5
Super built-up  Area,Ready To Move,Hegde Nagar,In society,1801.0,3,2,115.0,0
Built-up  Area,Ready To Move,Mahadevpura,In society,1451.0,2,2,90.0,0
Plot  Area,Not Ready To Move,Anekal,Not in society,1200.0,1,1,36.0,1
Super built-up  Area,Ready To Move,Begur Road,In society,1160.0,2,2,44.0,0
Built-up  Area,Ready To Move,Kengeri,Not in society,1000.0,2,1,25.0,0
Super built-up  Area,Ready To Move,Kanakpura Road,In society,950.0,2,1,40.0,0
Built-up  Area,Not Ready To Move,"Hoodi Circle, ",Not in society,1629.0,3,2,79.0,12
Built-up  Area,Ready To Move,Vijayanagar,Not in society,1580.0,2,0,134.0,0
Super built-up  Area,Not Ready To Move,Vijayanagar,In society,1826.0,3,2,121.0,6
Built-up  Area,Ready To Move,7th Phase JP Nagar,In society,1245.0,2,1,94.0,0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,In society,1145.0,2,2,45.79,0
Super built-up  Area,Ready To Move,Sompura,In society,825.0,2,1,33.0,0
Super built-up  Area,Not Ready To Move,Yeshwanthpur,In society,1693.0,3,3,108.0,8
Super built-up  Area,Ready To Move,Electronics City Phase 1,In society,570.0,2,2,53.0,0
Built-up  Area,Ready To Move,Ashirvad Colony,In society,1460.0,2,1,58.0,0
Built-up  Area,Ready To Move,Doddathoguru,In society,1050.0,2,1,32.0,0
Built-up  Area,Ready To Move,Dodda Nekkundi,In society,1260.0,2,2,55.0,0
Super built-up  Area,Ready To Move,K N Extension,Not in society,700.0,3,2,120.0,0
Built-up  Area,Ready To Move,Hosur Road,In society,1656.0,2,1,120.0,0
Super built-up  Area,Ready To Move,Chandapura,In society,1208.0,3,1,45.0,0
Super built-up  Area,Ready To Move,Whitefield,In society,1910.0,3,2,161.0,0
Super built-up  Area,Ready To Move,Whitefield,In society,3252.0,4,1,230.0,0
Plot  Area,Ready To Move,Battarahalli,Not in society,1200.0,2,1,65.0,0
Super built-up  Area,Ready To Move,Gokula Extension,Not in society,1200.0,4,1,175.0,0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,In society,1175.0,2,1,82.0,0
Plot  Area,Ready To Move,Kamakshipalya,Not in society,1000.0,2,0,165.0,0
Plot  Area,Ready To Move,Bannerghatta Road,Not in society,1200.0,2,0,125.0,0
Super built-up  Area,Ready To Move,Rajaji Nagar,In society,2390.0,3,2,410.0,0
Super built-up  Area,Not Ready To Move,Rajaji Nagar,Not in society,12000.0,6,3,2200.0,1
Plot  Area,Ready To Move,Sultan Palaya,Not in society,550.0,1,1,62.0,0
Super built-up  Area,Ready To Move,Kengeri,Not in society,40.0,1,0,18.5,0
Super built-up  Area,Ready To Move,Sanne Amanikere,In society,1185.0,2,2,38.0,0
Super built-up  Area,Ready To Move,Kengeri,In society,750.0,2,1,38.0,0
Plot  Area,Ready To Move,Mahalakshmi Layout,Not in society,1200.0,7,3,250.0,0
Super built-up  Area,Ready To Move,Kanakpura Road,In society,1550.0,3,3,64.5,0
Built-up  Area,Ready To Move,Amco Colony,In society,1760.0,3,2,88.0,0
Super built-up  Area,Ready To Move,Billekahalli,In society,1125.0,2,2,62.0,0
Plot  Area,Ready To Move,Nagarbhavi,Not in society,1350.0,3,2,150.0,0
Plot  Area,Not Ready To Move,Anandapura,Not in society,1000.0,2,1,55.0,12
Built-up  Area,Not Ready To Move,Bommasandra Industrial Area,Not in society,1090.0,2,2,31.48,8
Plot  Area,Ready To Move,TC Palaya,Not in society,1200.0,2,0,60.0,0
Super built-up  Area,Ready To Move,Budigere,In society,1991.0,4,2,103.0,0
Super built-up  Area,Not Ready To Move,Bommasandra,In society,1060.0,2,1,26.5,10
Super built-up  Area,Ready To Move,Ambalipura,In society,1105.0,2,1,75.0,0
Built-up  Area,Ready To Move,Hoodi,In society,985.0,2,2,67.0,0
Plot  Area,Ready To Move,Chandapura,Not in society,1533.0,5,3,85.0,0
Super built-up  Area,Not Ready To Move,Balagere,In society,1590.0,3,2,79.0,7
Super built-up  Area,Ready To Move,CV Raman Nagar,In society,1120.0,2,2,55.0,0
Super built-up  Area,Ready To Move,Samethanahalli,In society,1069.0,2,1,55.0,0
Super built-up  Area,Ready To Move,Marathahalli,In society,1933.0,3,2,140.0,0
Built-up  Area,Not Ready To Move,Hosur Road,In society,1194.0,2,0,69.0,3
Super built-up  Area,Ready To Move,Brookefield,In society,1150.0,2,3,69.0,0
Super built-up  Area,Ready To Move,Yelenahalli,Not in society,1240.0,2,2,47.12,0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,In society,1419.0,2,2,48.1,0
Plot  Area,Ready To Move,7th Phase JP Nagar,Not in society,1200.0,8,2,250.0,0
Super built-up  Area,Ready To Move,Richmond Town,In society,2150.0,4,2,240.0,0
Super built-up  Area,Ready To Move,Suddaguntepalya,In society,1450.0,3,2,55.0,0
Super built-up  Area,Not Ready To Move,Udayapur Village,In society,1630.0,3,2,68.29,7
Super built-up  Area,Ready To Move,Dasanapura,In society,708.0,1,1,40.0,0
Plot  Area,Ready To Move,Kasavanhalli,Not in society,1000.0,4,3,110.0,0
Plot  Area,Ready To Move,Whitefield,Not in society,11890.0,4,3,700.0,0
Super built-up  Area,Ready To Move,Bellandur,In society,1250.0,2,1,76.0,0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,In society,1400.0,2,1,95.0,0
Super built-up  Area,Ready To Move,Sarjapur  Road,Not in society,1670.0,2,3,57.0,0
Super built-up  Area,Ready To Move,Ardendale,In society,1750.0,3,2,100.0,0
Super built-up  Area,Ready To Move,Vittasandra,In society,1404.0,2,1,71.0,0
Super built-up  Area,Ready To Move,Hoodi,In society,1715.0,2,2,95.0,0
Built-up  Area,Not Ready To Move,Electronic City,In society,630.0,1,1,34.65,4
Super built-up  Area,Ready To Move,Harlur,In society,882.0,3,2,135.0,0
Super built-up  Area,Ready To Move,Hulimavu,Not in society,1650.0,3,2,78.0,0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,In society,1295.0,2,1,55.47,0
Plot  Area,Ready To Move,Giri Nagar,In society,1800.0,3,2,252.0,0
Super built-up  Area,Not Ready To Move,Sarjapur  Road,In society,1346.0,2,1,74.03,9
Plot  Area,Ready To Move,Thippasandra,Not in society,1200.0,4,2,200.0,0
Super built-up  Area,Ready To Move,Hormavu,In society,1150.0,2,2,55.0,0
Built-up  Area,Ready To Move,Chikkabidarakallu,In society,3309.0,4,3,325.0,0
Super built-up  Area,Not Ready To Move,Chandapura,In society,1190.0,2,2,30.35,5
Super built-up  Area,Ready To Move,AECS Layout,In society,1620.0,3,2,98.0,0
Super built-up  Area,Not Ready To Move,Marathahalli,Not in society,950.0,2,1,46.96,4
Super built-up  Area,Ready To Move,1 Giri Nagar,In society,5000.0,9,3,360.0,0
Super built-up  Area,Ready To Move,Harlur,In society,2450.0,3,0,120.0,0
Super built-up  Area,Not Ready To Move,Electronic City Phase II,In society,1220.0,2,1,35.23,5
Super built-up  Area,Ready To Move,Hoysalanagar,In society,850.0,2,1,30.0,0
Built-up  Area,Ready To Move,Padmanabhanagar,Not in society,1020.0,2,2,63.0,0
Built-up  Area,Ready To Move,Chikkalasandra,Not in society,1100.0,2,2,50.0,0
Super built-up  Area,Ready To Move,Defence Colony,In society,1150.0,2,2,126.0,0
Super built-up  Area,Not Ready To Move,Hebbal,In society,1760.0,2,2,130.0,12
Super built-up  Area,Ready To Move,Ambalipura,Not in society,1800.0,3,3,110.0,0
Super built-up  Area,Ready To Move,Akshaya Nagar,Not in society,1070.0,2,1,54.0,0
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,Not in society,1500.0,4,2,220.0,0
Plot  Area,Ready To Move,Vidyaranyapura,Not in society,1440.0,2,0,95.0,0
Super built-up  Area,Ready To Move,Amruthahalli,In society,900.0,2,1,40.0,0
Built-up  Area,Ready To Move,ITI Employees Layout,Not in society,1200.0,4,1,230.0,0
Super built-up  Area,Not Ready To Move,Whitefield,In society,1130.0,2,1,42.16,5
Super built-up  Area,Ready To Move,Koramangala,In society,1320.0,2,1,165.0,0
Super built-up  Area,Not Ready To Move,Kodigehalli,Not in society,1270.0,2,1,98.0,6
Built-up  Area,Ready To Move,Patelappa Layout,In society,1200.0,2,1,62.0,0
Super built-up  Area,Ready To Move,Ring Road Nagarbhavi,Not in society,4800.0,4,2,235.0,0
Super built-up  Area,Ready To Move,NS Palya,Not in society,1200.0,2,1,74.0,0
Super built-up  Area,Ready To Move,Subramanyapura,In society,929.0,2,0,50.17,0
Built-up  Area,Ready To Move,RMV 2nd Stage,In society,1150.0,4,2,260.0,0
Plot  Area,Ready To Move,Basavangudi,Not in society,1125.0,4,3,180.0,0
Plot  Area,Ready To Move,Kenchenahalli,Not in society,500.0,3,2,65.0,0
Plot  Area,Ready To Move,3rd Block Hrbr Layout,In society,1200.0,5,2,190.0,0
Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,Not in society,1464.0,3,2,56.0,0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,Not in society,3600.0,4,3,400.0,0
Plot  Area,Ready To Move,Bank Avenue,Not in society,2000.0,4,2,99.0,0
Super built-up  Area,Ready To Move,Chikkalasandra,Not in society,1208.0,2,1,49.0,0
Super built-up  Area,Ready To Move,Hebbal Kempapura,In society,1130.0,2,2,60.0,0
Super built-up  Area,Ready To Move,Surabhi Layout,In society,1753.0,3,2,120.0,0
Super built-up  Area,Ready To Move,Old Madras Road,In society,4500.0,7,3,337.0,0
Plot  Area,Ready To Move,Banjara Layout,Not in society,600.0,3,2,58.0,0
Super built-up  Area,Not Ready To Move,Hoodi,In society,1196.0,2,2,94.42,6
Built-up  Area,Ready To Move,5th Phase JP Nagar,In society,1150.0,3,3,52.5,0
Super built-up  Area,Not Ready To Move,Electronic City,In society,1128.0,2,1,63.0,4
Super built-up  Area,Ready To Move,Omkar Nagar,In society,1000.0,2,1,53.0,0
Super built-up  Area,Ready To Move,Yelahanka,In society,1035.0,2,1,45.0,0
Built-up  Area,Ready To Move,Kereguddadahalli,Not in society,950.0,2,1,32.0,0
Super built-up  Area,Ready To Move,Bisuvanahalli,In society,1075.0,2,1,36.0,0
Super built-up  Area,Ready To Move,Whitefield,In society,1040.0,2,1,48.5,0
Plot  Area,Not Ready To Move,Maragondanahalli,Not in society,720.0,2,1,45.0,10
Super built-up  Area,Ready To Move,Lingadheeranahalli,In society,1511.0,3,1,95.0,0
Built-up  Area,Ready To Move,Silk Board,Not in society,1300.0,3,1,58.0,0
Super built-up  Area,Not Ready To Move,Hoodi,In society,1545.0,3,1,68.75,12
Built-up  Area,Ready To Move,Shampura,Not in society,375.0,2,0,26.0,0
Super built-up  Area,Ready To Move,Vidyaranyapura,Not in society,1062.0,2,3,38.0,0
Super built-up  Area,Ready To Move,Kada Agrahara,Not in society,1115.0,2,1,40.0,0
Super built-up  Area,Ready To Move,JP Nagar,In society,1000.0,2,1,35.0,0
Super built-up  Area,Not Ready To Move,Kambipura,In society,883.0,2,1,45.0,5
Super built-up  Area,Not Ready To Move,Sarjapur  Road,In society,1195.0,2,1,70.0,4
Plot  Area,Ready To Move,BHEL Layout,Not in society,1200.0,3,1,165.0,0
Built-up  Area,Ready To Move,Medahalli,Not in society,700.0,1,0,41.0,0
Super built-up  Area,Ready To Move,Vittasandra,In society,1246.0,2,1,67.0,0
Plot  Area,Ready To Move,8th Phase JP Nagar,Not in society,660.0,4,2,90.0,0
Plot  Area,Ready To Move,Banashankari Stage III,Not in society,8500.0,4,2,145.0,0
Super built-up  Area,Ready To Move,Kashi Nagar,Not in society,1600.0,4,1,80.0,0
Super built-up  Area,Not Ready To Move,Haralur Road,In society,2805.0,5,3,154.0,12
Super built-up  Area,Ready To Move,Begur Road,Not in society,1584.0,3,2,65.0,0
Plot  Area,Ready To Move,Sector 7 HSR Layout,Not in society,3000.0,5,1,275.0,0
Built-up  Area,Ready To Move,Hosur Road,Not in society,1175.0,2,2,48.0,0
Built-up  Area,Not Ready To Move,"Yemlur, Old Airport Road, ",Not in society,1595.0,3,2,115.0,7
Super built-up  Area,Ready To Move,VHBCS Layout,In society,1353.0,2,2,110.0,0
Super built-up  Area,Not Ready To Move,Electronic City,In society,1599.0,3,2,125.0,4
Super built-up  Area,Ready To Move,Whitefield,In society,1150.0,2,1,70.0,0
Super built-up  Area,Not Ready To Move,Jakkur,In society,5230.0,6,1,465.0,12
Super built-up  Area,Ready To Move,KR Puram,In society,1155.0,2,2,42.74,0
Built-up  Area,Ready To Move,Ittamadu,Not in society,1200.0,2,0,85.0,0
Super built-up  Area,Not Ready To Move,Electronic City Phase II,Not in society,1000.0,2,1,25.0,7
Super built-up  Area,Ready To Move,Thanisandra,Not in society,3000.0,4,2,120.0,0
Built-up  Area,Ready To Move,Rajiv Nagar,In society,1867.0,3,1,160.0,0
Super built-up  Area,Not Ready To Move,Ramagondanahalli,In society,1251.0,2,1,47.0,6
Super built-up  Area,Not Ready To Move,Gattahalli,In society,1028.0,2,1,45.5,4
Super built-up  Area,Ready To Move,Arekere,In society,1222.0,2,2,45.0,0
Super built-up  Area,Ready To Move,Bannerghatta Road,In society,1170.0,2,1,66.0,0
Super built-up  Area,Ready To Move,Hebbal,In society,2400.0,4,1,245.0,0
Super built-up  Area,Ready To Move,Ramanjaneyanagar,Not in society,1385.0,2,2,48.48,0
Super built-up  Area,Ready To Move,HSR Layout,In society,1372.0,2,1,68.0,0
Super built-up  Area,Ready To Move,Magadi Road,In society,1282.0,2,2,49.0,0
Super built-up  Area,Ready To Move,Mico Layout,In society,5000.0,9,3,210.0,0
Built-up  Area,Ready To Move,7th Block Jayanagar,Not in society,3000.0,3,1,528.0,0
Super built-up  Area,Ready To Move,Kanakpura Road,In society,1135.0,2,1,39.73,0
Built-up  Area,Not Ready To Move,Whitefield,Not in society,1768.0,3,2,101.0,12
Built-up  Area,Ready To Move,Byatarayanapura,In society,1325.0,2,1,90.0,0
Super built-up  Area,Not Ready To Move,Electronic City,In society,1599.0,3,2,99.0,4
Plot  Area,Not Ready To Move,Whitefield,Not in society,1500.0,3,1,61.95,3
Plot  Area,Ready To Move,2nd Phase JP Nagar,Not in society,2610.0,3,0,499.0,0
Super built-up  Area,Ready To Move,Uttarahalli,Not in society,1286.0,2,2,63.0,0
Built-up  Area,Ready To Move,Kammanahalli,Not in society,2845.0,5,1,140.0,0
Super built-up  Area,Ready To Move,K G Colony,In society,1600.0,2,2,50.0,0
